deparment,code,discription,rate
DEPARTMENT OF PSYCHOLOGICAL COUNSELLIN,PCD13   ,PARENTAL COUNSELLING                                ,150              
DEPARTMENT OF PSYCHOLOGICAL COUNSELLIN,PCD14   ,BEHAVIOURAL THERAPY                                 ,150              
DEPARTMENT OF PSYCHOLOGICAL COUNSELLIN,PCD15   ,RELAXATION THERAPY - CAT3                           ,200              
DEPARTMENT OF PSYCHOLOGICAL COUNSELLIN,PCD16   ,RELAXATION THERAPHY - CAT4                          ,250              
DEPARTMENT OF PSYCHOLOGICAL COUNSELLIN,PCD17   ,RELAXATION THERAPY - CAT5                            300          ,    
DEPARTMENT OF PSYCHOLOGICAL COUNSELLIN,PCD18   ,RELAXATION THERAPY - CAT6                           ,400              
DEPARTMENT OF PSYCHOLOGICAL COUNSELLIN,PCD2    ,PSYCHOLOGICAL COUNSELLING THERAPY-CAT2              ,150              
DEPARTMENT OF PSYCHOLOGICAL COUNSELLIN,PCD3    ,FAMILY COUNSELLING THERAPY-CAT1                     ,150              
DEPARTMENT OF PSYCHOLOGICAL COUNSELLIN,PCD4   , FAMILY COUNSELLING THERAPY-CAT2                     ,250              
DEPARTMENT OF PSYCHOLOGICAL COUNSELLIN,PCD5    ,FAMILY COUNSELLING THERAPY-CAT3                     ,400              
DEPARTMENT OF PSYCHOLOGICAL COUNSELLIN,PCD6    ,RELAXATION THERAPY CAT-1                             ,75              
DEPARTMENT OF PSYCHOLOGICAL COUNSELLIN,PCD7    ,RELAXATION THERAPY CAT-2                            ,150              
DEPARTMENT OF PSYCHOLOGICAL COUNSELLIN,PCD8    ,SLEEP THERAPY                                        ,75              
DEPARTMENT OF PSYCHOLOGICAL COUNSELLIN,PCD9    ,SLEEP THERAPY FOR 6 DAYS                            ,450              
DEPARTMENT OF PSYCHOLOGICAL COUNSELLIN,PCDF    ,FAMILY COUNSELLING/THERAPY                          ,100              
DEPARTMENT OF PSYCHOLOGICAL COUNSELLIN,PCDG    ,GROUP COUNSELLING (PER HEAD)                         ,30              
DEPARTMENT OF PSYCHOLOGICAL COUNSELLIN,PCDI    ,INDIVIDUAL COUNSELLING/THERAPY                       ,30              
DEPARTMENT OF PSYCHOLOGICAL COUNSELLIN, ,                                              -----, 
DEPARTMENT OF PATHOLOG,CODE    ,DESCRIPTION                                        ,RATE              
DEPARTMENT OF PATHOLOG,400A    ,HB ESTIMATION                    ,                    30              
DEPARTMENT OF PATHOLOG,401A    ,PCV                                                  ,30              
DEPARTMENT OF PATHOLOG,402A    ,TOTAL AND DIFFERENTIAL COUNTS                        ,50              
DEPARTMENT OF PATHOLOG,403A    ,PLATELET COUNT                                ,       40              
DEPARTMENT OF PATHOLOG,404A    ,RETICULOCYTE COUNT                                   ,50              
DEPARTMENT OF PATHOLOG,405A    ,ABSOLUTE EOSINOPHIL COUNT                            ,40              
DEPARTMENT OF PATHOLOG,406A    ,ERYTHROCYTE SEDIMENTATION RATE (ESR)                  30   ,           
DEPARTMENT OF PATHOLOG,407A    ,BLEEDING TIME AND CLOTTING TIME                      ,75              
DEPARTMENT OF PATHOLOG,408A    ,CANCER FOLLOW UP                                     ,50              
DEPARTMENT OF PATHOLOG,409A    ,(CBC+P/S+R.C.COUNT+ESR)                             ,225              
DEPARTMENT OF PATHOLOG,410A    ,URINE ALBUMIN + SUGAR                                ,30              
DEPARTMENT OF PATHOLOG,411A    ,URINE SUGAR + KETONES                                ,30              
DEPARTMENT OF PATHOLOG,412A    ,URINE MICROSCOPY                                     ,30              
DEPARTMENT OF PATHOLOG,413A    ,URINE METACHROMATIC GRANULES                         ,30              
DEPARTMENT OF PATHOLOG,414A    ,STOOL OCCULT BLOOD ANASYSIS                          ,40              
DEPARTMENT OF PATHOLOG,415A    ,COMPLETE URINE STUDY                                 ,70              
DEPARTMENT OF PATHOLOG,416A    ,SEMEN ANALYSIS   ,                                   100              
DEPARTMENT OF PATHOLOG,417A    ,SICKLE CELL PREPARATION                              ,50              
DEPARTMENT OF PATHOLOG,418A    ,G-6PD DEFICIENCY SCREENING TEST                      ,75              
DEPARTMENT OF PATHOLOG,419A    ,LE CELL PHENOMENON            ,                      150              
DEPARTMENT OF PATHOLOG,420A    ,FETAL HAEMOGLOBIN ESTIMATION                        ,150              
DEPARTMENT OF PATHOLOG,421A    ,SUCROSE LYSES TEST                                  ,150              
DEPARTMENT OF PATHOLOG,422A    ,CYTOCHEMICAL STAINS                        ,         150              
DEPARTMENT OF PATHOLOG,423A    ,CBP                                                 ,150              
DEPARTMENT OF PATHOLOG,424A    ,OSMOTIC FRAGILITY                                   ,200              
DEPARTMENT OF PATHOLOG,425A    ,BONE MARROW ASPIRATION                               300,              
DEPARTMENT OF PATHOLOG,426A    ,BONE MARROW BIOPSY                                  ,350              
DEPARTMENT OF PATHOLOG,427A    ,KARYOTYPING BONE MARROW                             ,800              
DEPARTMENT OF PATHOLOG,427B    ,KARYOTYPING PERIPHERAL BLOOD                         600             , 
DEPARTMENT OF PATHOLOG,427C    ,PH CHROMOSOME                                       ,200              
DEPARTMENT OF PATHOLOG,428A    ,FLUID CYTOLOGY                                      ,100              
DEPARTMENT OF PATHOLOG,429A    ,C S F                                               ,100              
DEPARTMENT OF PATHOLOG,430A    ,SYNOVIAL FLUID                                      ,100              
DEPARTMENT OF PATHOLOG,431A    ,BODY FLUIDS                                         ,100              
DEPARTMENT OF PATHOLOG,432A    ,EXFOLIATIVE CYTOLOGY                                ,100              
DEPARTMENT OF PATHOLOG,433A    ,SPUTUM        ,                                      100              
DEPARTMENT OF PATHOLOG,434A    ,ENDOSCOPIC/BRUSH SMEARS                             ,150              
DEPARTMENT OF PATHOLOG,435A    ,PAP SMEARS                                          ,150              
DEPARTMENT OF PATHOLOG,436A    ,BUCRAL SMEAR FOR SEX CHROMATIN                      ,100              
DEPARTMENT OF PATHOLOG,437A    ,FINE NEEDLE ASPIRATION CYTOLOGY                     ,150              
DEPARTMENT OF PATHOLOG,438A    ,SQUASH SMEAR                                         ,60              
DEPARTMENT OF PATHOLOG,439A    ,SECOND OPINION                          ,            100              
DEPARTMENT OF PATHOLOG,440A    ,DUPLICATE SLIDES                                     ,60              
DEPARTMENT OF PATHOLOG,441A    ,HISTOPATHOLOGY A (SMALL)                            ,150              
DEPARTMENT OF PATHOLOG,442A    ,HISTOPATHOLOGY B (LARGE)                            ,350              
DEPARTMENT OF PATHOLOG,444A    ,HISTOPATHOLOGY+SPECIAL STUDIES A (MUSLCE,NERV       ,500              
DEPARTMENT OF PATHOLOG,445A    ,HISTOPATHOLOGY+IMMUNOHISTOLOGY(RENAL BIOP.,OT       ,700              
DEPARTMENT OF PATHOLOG,446A    ,HIST.PATH.+IMMUNOHISTOLOGY(REN.BIOP/OTH-MULTI       1400          ,    
DEPARTMENT OF PATHOLOG,447A    ,CRYOSTAT SECTIONS                                   ,150              
DEPARTMENT OF PATHOLOG,448A    ,RESEARCH SPECIMEN                                   ,100              
DEPARTMENT OF PATHOLOG,449A    ,DUPLICATE REPORT                                     ,20              
DEPARTMENT OF PATHOLOG,450A   , NEUROPATHOLOGY/LIVER BIOPSY                         ,250              
DEPARTMENT OF PATHOLOG,451A    ,B LYMPHOCYTE CROSS MATCH                            ,800              
DEPARTMENT OF PATHOLOG,452A    ,ELISA - ABPA                                        ,250              
DEPARTMENT OF PATHOLOG,453A    ,CD4/CD8 RATIOS                                     ,1500              
DEPARTMENT OF PATHOLOG,454A    ,ELISA - TB                                          ,250              
DEPARTMENT OF PATHOLOG,455A    ,HLA TISSUE TYPING                                  ,3500              
DEPARTMENT OF PATHOLOG,456A    ,CELL MEDIATED IMMUNE RESPONSE (INVITRO)             ,850              
DEPARTMENT OF PATHOLOG,457A    ,IMMUNO HISTOCHEMISTRY - TWO MARKERS                ,1400              
DEPARTMENT OF PATHOLOG,458A    ,IMMUNO HISTOCHEMISTRY - THREE MARKERS              ,1800              
DEPARTMENT OF PATHOLOG,459A    ,IMMUNO HISTOCHEMISTRY - FOUR MARKERS AND MORE      ,2500              
DEPARTMENT OF PATHOLOG,460A    ,ACUTE LEUKEMIA PANEL                               ,1200              
DEPARTMENT OF PATHOLOG,461A    ,IMMUNO HISTOCHEMISTRY SINGLE MARKER(E R, GFAP       ,700              
DEPARTMENT OF PATHOLOG,462A    ,PITUITARY PANEL                                 ,   1200              
DEPARTMENT OF PATHOLOG,463A    ,ENZYME HISTOCHEMISTRY                               ,500              
DEPARTMENT OF PATHOLOG,464     ,HB, PCV, TLC, DLC, ESR                              ,120              
DEPARTMENT OF PATHOLOG,464A    ,MUSCLE - DYSTROPHIN                                 1500     ,         
DEPARTMENT OF PATHOLOG,465A    ,P/S                                                  ,50              
DEPARTMENT OF PATHOLOG,466A    ,MP                                                   ,50              
DEPARTMENT OF PATHOLOG,467A    ,MF                                                   ,50              
DEPARTMENT OF PATHOLOG,468A    ,PARASIGHT-F                                         ,250              
DEPARTMENT OF PATHOLOG,469A    ,LARGE SP > 3 BLOCKS                                 ,600              
DEPARTMENT OF PATHOLOG,470A    ,SPECIAL STAINING                                    ,150              
DEPARTMENT OF PATHOLOG,471A    ,KIDNEY,                                              500              
DEPARTMENT OF PATHOLOG,472A    ,MUSCLE (INCLUDING PROCEDURE)ENGYME HISTO CHEM      ,1200              
DEPARTMENT OF PATHOLOG,473A    ,ROUND CELL PANEL                                   ,1400              
DEPARTMENT OF PATHOLOG,474A    ,SPINDEL CELL PANEL ,                                1400              
DEPARTMENT OF PATHOLOG,475A    ,PITUITARY PANEL                                    ,1400              
DEPARTMENT OF PATHOLOG,476A    ,ER/PR                                              ,1400              
DEPARTMENT OF PATHOLOG,477A    ,DYSTROPHIN & OR ADHALIN/ MEROSIN,                   1400              
DEPARTMENT OF PATHOLOG,478A    ,PAROXYSMAL NOCTURNAL HEMOGLOBINURIA(PNH)           ,1200              
DEPARTMENT OF PATHOLOG,479A    ,SECOND OPINION +BLOCK                               ,150              
DEPARTMENT OF PATHOLOG,480A    ,SECOND OPINION > 3 BLOCKS                    ,       250              
DEPARTMENT OF PATHOLOG,481A    ,SECOND OPINION SPECIAL STAINS                       ,150              
DEPARTMENT OF PATHOLOG,482A    ,SPECIAL HISTOPATHOLOGY NEURO/LYMPHNODE/SOFT T      ,2000              
DEPARTMENT OF PATHOLOG,483A    ,DYSTROPHIN 1 2 3                                    2000  ,            
DEPARTMENT OF PATHOLOG,484A    ,ALPHA BETA GAMMA DELTA SARCOGLYCANS                ,5000              
DEPARTMENT OF PATHOLOG,485A    ,MEROSIN                                            ,1000              
DEPARTMENT OF PATHOLOG,486A    ,DYSFERLIN                                          ,1000              
DEPARTMENT OF PATHOLOG,487A    ,EMERIN                                             ,1000              
DEPARTMENT OF PATHOLOG,488A    ,MYOTILIN                                           ,1000              
DEPARTMENT OF PATHOLOG,489A    ,BETA AMYLOID                                       ,1000              
DEPARTMENT OF PATHOLOG,490A    ,BETA AMYLOID TAU PROTEIN AND UBIQUITIN             ,3000              
DEPARTMENT OF PLASTER ROO,CODE    ,DESCRIPTION                                        ,RATE              
DEPARTMENT OF PLASTER ROO,500A    ,MINOR PROCEDURES                                    ,250              
DEPARTMENT OF PLASTER ROO,500B    ,MINOR PROCEDURES                                    ,500              
DEPARTMENT OF PLASTER ROO,500C    ,MINOR PROCEDURES   ,                                 750              
DEPARTMENT OF PLASTER ROO,501A    ,H.C. INJECTION OR INTRA ARTICULAR                    ,50              
DEPARTMENT OF PLASTER ROO,502A    ,KNEE JOINT ASPIRATION                                ,50              
DEPARTMENT OF PLASTER ROO,503A    ,REDUCTION UNDER SEDATION & POP  ,                    150              
DEPARTMENT OF PLASTER ROO,504A    ,REDUCTION UNDER ANAESTHESIA & POP                   ,300              
DEPARTMENT OF PLASTER ROO,505A    ,C.T.E.V. MANIPULATION                                ,50              
DEPARTMENT OF PLASTER ROO,506A    ,PLASTER REMOVAL                              ,        15              
DEPARTMENT OF PLASTER ROO,507A    ,DRESSING                                             ,30              
DEPARTMENT OF PLASTER ROO,508A    ,SUTURE REMOVAL & DRESSING                            ,40              
DEPARTMENT OF PLASTER ROO,509A    ,PLASTER SLAB                                         100  ,            
DEPARTMENT OF PLASTER ROO,510A    ,PLASTER CAST                                        ,100              
DEPARTMENT OF PLASTER ROO,511A    ,SPICA & BODY CORSETS                                ,350              
DEPARTMENT OF PLASTER ROO,512A    ,I & D (INCISION & DRAINAGE - LOCAL                  ,100              
DEPARTMENT OF PLASTER ROO,513A    ,I & D (INCISION & DRAINAGE - GENERAL                ,250              
DEPARTMENT OF PLASTER ROO,514A    ,SUTURING - UNDER LOCAL ANAESTHESIA                  ,100              
DEPARTMENT OF PLASTER ROO,                                         ,-----
DEPARTMENT OF PLASTIC SURGER,============================
DEPARTMENT OF PLASTIC SURGER,CODE    ,DESCRIPTION                                        ,RATE              
DEPARTMENT OF PLASTIC SURGER,P100SU  ,SCAR REVISION/TATO EXCISION LA MINOR               ,1000              
DEPARTMENT OF PLASTIC SURGER,P101SU  ,SCAR REVISION/TATO EXCISION LA MAJOR               ,2000              
DEPARTMENT OF PLASTIC SURGER,P102SU  ,SCAR REVISION/TATO EXCISION GA MINOR               ,2000              
DEPARTMENT OF PLASTIC SURGER,P103SU  ,SCAR REVISION/TATO EXCISION GA MAJOR               ,3000              
DEPARTMENT OF PLASTIC SURGER,P104SU  ,DERMABRASION LA                                    ,1000              
DEPARTMENT OF PLASTIC SURGER,P105SU  ,DERMABRASION GA MINOR                              ,3000              
DEPARTMENT OF PLASTIC SURGER,P106SU  ,DERMABRASION GA MAJOR                              ,5000              
DEPARTMENT OF PLASTIC SURGER,P107SU  ,LIPOSUCTION LA MINOR                               ,1000              
DEPARTMENT OF PLASTIC SURGER,P108SU  ,LIPOSUCTION LA MAJOR                               ,2500              
DEPARTMENT OF PLASTIC SURGER,P109SU  ,LIPOSUCTION GA MINOR                               ,3000              
DEPARTMENT OF PLASTIC SURGER,P110SU  ,LIPOSUCTION GA MAJOR        ,                       6000              
DEPARTMENT OF PLASTIC SURGER,P111SU  ,LIPECTOMY LA                                       ,1500              
DEPARTMENT OF PLASTIC SURGER,P112SU  ,LIPECTOMY GA MINOR                                 ,4000              
DEPARTMENT OF PLASTIC SURGER,P113SU  ,LIPECTOMY GA MAJOR                       ,          6000              
DEPARTMENT OF PLASTIC SURGER,P114SU  ,AUGUMENTATION MAMMOPLASTYU/L                       ,5000              
DEPARTMENT OF PLASTIC SURGER,P115SU  ,AUGUMENTATION MAMMOPLASTYB/L                       ,7000              
DEPARTMENT OF PLASTIC SURGER,P116SU  ,AUGUMENTATION MAMMOPLASTY(EXCLUDING IMPLANTS)      ,4000              
DEPARTMENT OF PLASTIC SURGER,P117SU  ,AUGUMENTATION MAMMOPLASTY(EXCLUDING IMPLANTS)      ,6000              
DEPARTMENT OF PLASTIC SURGER,P118SU  ,REDUCTION MAMMOPLASTY U/L                          ,4000              
DEPARTMENT OF PLASTIC SURGER,P119SU  ,REDUCTION MAMMOPLASTY B/L                           7000           ,   
DEPARTMENT OF PLASTIC SURGER,P120SU  ,HAIR REPLACEMENT SURGERY LA MINOR                  ,2000              
DEPARTMENT OF PLASTIC SURGER,P121SU  ,HAIR REPLACEMENT SURGERY LA MAJOR                  ,4000              
DEPARTMENT OF PLASTIC SURGER,P122SU  ,HAIR REPLACEMENT SURGERY GA MINOR                  ,5000              
DEPARTMENT OF PLASTIC SURGER,P123SU  ,HAIR REPLACEMENT SURGERY GA MAJOR                  ,8000              
DEPARTMENT OF PLASTIC SURGER,P124SU  ,OTOPLASTY LA                                       ,2000              
DEPARTMENT OF PLASTIC SURGER,P125SU  ,OTOPLASTY GA MINOR                                 ,3500              
DEPARTMENT OF PLASTIC SURGER,P126SU  ,OTOPLASTY GA MAJOR                                 ,6000              
DEPARTMENT OF PLASTIC SURGER,P127SU  ,RHINO PLASTY -(CARTILAGE /BONE GRAFT) LA           ,3000              
DEPARTMENT OF PLASTIC SURGER,P128SU  ,RHINO PLASTY -(CARTILAGE /BONE GRAFT) GA MINO      ,5000              
DEPARTMENT OF PLASTIC SURGER,P129SU  ,RHINO PLASTY -(CARTILAGE /BONE GRAFT) GA MAJO      ,7500              
DEPARTMENT OF PLASTIC SURGER,P150SU  ,CALVARIAL RECONSTRUCTION (SOFT ISSUSE) MINOR       ,5000              
DEPARTMENT OF PLASTIC SURGER,P151SU  ,CALVARIAL RECONSTRUCTION (SOFT ISSUSE) MAJOR       ,7500              
DEPARTMENT OF PLASTIC SURGER,P152SU  ,CALVARIAL RECONSTRUCTION WITH BONE GRAFTS MIN      ,7500              
DEPARTMENT OF PLASTIC SURGER,P153SU  ,CALVARIAL RECONSTRUCTION WITH BONE GRAFTS MAJ     ,10000              
DEPARTMENT OF PLASTIC SURGER,P154SU  ,EXPANDERS (EXCLUDING IMPLANTS) MINOR               ,6000              
DEPARTMENT OF PLASTIC SURGER,P155SU  ,EXPANDERS (EXCLUDING IMPLANTS) MAJOR              ,10000              
DEPARTMENT OF PLASTIC SURGER,P156SU  ,CRANIOFACIAL SURGERY     GA (3 HRS)               ,10000              
DEPARTMENT OF PLASTIC SURGER,P157SU  ,CRANIOFACIAL SURGERY     GA (5 HRS)               ,15000              
DEPARTMENT OF PLASTIC SURGER,P158SU  ,CRANIOFACIAL SURGERY     GA (7 HRS)                20000        ,      
DEPARTMENT OF PLASTIC SURGER,P159SU  ,CRANIOFACIAL SURGERY     GA > 7 HRS               ,30000              
DEPARTMENT OF PLASTIC SURGER,P160SU  ,MAXILLA ADVANCEMENT /SET BACK                     ,10000              
DEPARTMENT OF PLASTIC SURGER,P161SU  ,MANDIBLE ADVANCEMENT /SETBACK                     ,10000              
DEPARTMENT OF PLASTIC SURGER,P162SU  ,SKULL BASE TUMORS-TRANSMAXILLARY                  ,10000              
DEPARTMENT OF PLASTIC SURGER,P163SU  ,SKULL BASE TUMORS- NASOMAXILLARY                  ,15000              
DEPARTMENT OF PLASTIC SURGER,P164SU  ,SKULL BASE TUMORS- FRONTONASAL                    ,15000              
DEPARTMENT OF PLASTIC SURGER,P165SU  ,SKULL BASE TUMORS- FRONTONASO ORBITAL             ,20000              
DEPARTMENT OF PLASTIC SURGER,P200SU  ,NASAL LA                                           ,1500              
DEPARTMENT OF PLASTIC SURGER,P201SU  ,NASAL GA                                           ,3000              
DEPARTMENT OF PLASTIC SURGER,P202SU  ,ZYGOMA LA             ,                             1500              
DEPARTMENT OF PLASTIC SURGER,P203SU  ,ZYGOMA GA MINOR                                    ,3000              
DEPARTMENT OF PLASTIC SURGER,P204SU  ,ZYGOMA GA MAJOR                                    ,5000              
DEPARTMENT OF PLASTIC SURGER,P205SU  ,ORBITAL LA                         ,                2000              
DEPARTMENT OF PLASTIC SURGER,P206SU  ,ORBITAL GA MINOR                                   ,3000              
DEPARTMENT OF PLASTIC SURGER,P207SU  ,ORBITAL GA MAJOR                                   ,5000              
DEPARTMENT OF PLASTIC SURGER,P208SU  ,FRONTONASO ETHMOIDO ORBITL A                    ,   5000              
DEPARTMENT OF PLASTIC SURGER,P209SU  ,FRONTONASO ETHMOIDO ORBITL B                      ,10000              
DEPARTMENT OF PLASTIC SURGER,P210SU  ,FRONTONASO ETHMOIDO ORBITL C                      ,15000              
DEPARTMENT OF PLASTIC SURGER,P211SU  ,MANDIBLE(CLOSED REDUCTION& IMF) LA                  3000   ,           
DEPARTMENT OF PLASTIC SURGER,P212SU  ,MANDIBLE(CLOSED REDUCTION& IMF) GA                 ,5000              
DEPARTMENT OF PLASTIC SURGER,P213SU  ,MAXILLA LA                                         ,2500              
DEPARTMENT OF PLASTIC SURGER,P214SU  ,MAXILLA GA MINOR                                   ,5000              
DEPARTMENT OF PLASTIC SURGER,P215SU  ,MAXILLA GA MAJOR                                  ,10000              
DEPARTMENT OF PLASTIC SURGER,P216SU  ,PANFACIAL FRACTURES GA A                          ,10000              
DEPARTMENT OF PLASTIC SURGER,P217SU  ,PANFACIAL FRACTURES GA B                          ,15000              
DEPARTMENT OF PLASTIC SURGER,P218SU  ,TM JOINT RELEASE(UNILATERAL)                       ,6000              
DEPARTMENT OF PLASTIC SURGER,P219SU  ,TM JOINT RELEASE(BILATERAL)                       ,11000              
DEPARTMENT OF PLASTIC SURGER,P220SU  ,IMF LA                                             ,1000              
DEPARTMENT OF PLASTIC SURGER,P221SU  ,IMF GA           ,                                  3000              
DEPARTMENT OF PLASTIC SURGER,P222SU  ,ORIF GA MINOR                                      ,5000              
DEPARTMENT OF PLASTIC SURGER,P223SU  ,ORIF GA MAJOR                                      ,7000              
DEPARTMENT OF PLASTIC SURGER,P250SU  ,DEBRIDEMENT A                 ,                      500              
DEPARTMENT OF PLASTIC SURGER,P251SU  ,DEBRIDEMENT B                                      ,1000              
DEPARTMENT OF PLASTIC SURGER,P252SU  ,DEBRIDEMENT C                                      ,2500              
DEPARTMENT OF PLASTIC SURGER,P253SU  ,DEBRIDEMENT D                              ,        4000              
DEPARTMENT OF PLASTIC SURGER,P254SU  ,SKIN GRAFTING LA MINOR                              ,500              
DEPARTMENT OF PLASTIC SURGER,P255SU  ,SKIN GRAFTING LA MAJOR                             ,2000              
DEPARTMENT OF PLASTIC SURGER,P256SU  ,SKIN GRAFTING GA A                                  3000,              
DEPARTMENT OF PLASTIC SURGER,P257SU  ,SKIN GRAFTING GA B                                 ,3500              
DEPARTMENT OF PLASTIC SURGER,P258SU  ,SKIN GRAFTING GA C                                 ,5000              
DEPARTMENT OF PLASTIC SURGER,P259SU  ,SKIN FLAP MINOR                                     2500             , 
DEPARTMENT OF PLASTIC SURGER,P260SU  ,SKIN FLAP MAJOR                                    ,4000              
DEPARTMENT OF PLASTIC SURGER,P261SU  ,MUSCLE FLAP  MINOR                                 ,3000              
DEPARTMENT OF PLASTIC SURGER,P262SU  ,MUSCLE FLAP  MAJOR                                 ,5000              
DEPARTMENT OF PLASTIC SURGER,P263SU  ,SOFT TISSUE INJURY LA A                             ,500              
DEPARTMENT OF PLASTIC SURGER,P264SU  ,SOFT TISSUE INJURY LA B                            ,1000              
DEPARTMENT OF PLASTIC SURGER,P265SU  ,SOFT TISSUE INJURY LA C                            ,2000              
DEPARTMENT OF PLASTIC SURGER,P266SU  ,SOFT TISSUE INJURY LA D                            ,4000              
DEPARTMENT OF PLASTIC SURGER,P267SU  ,SOFT TISSUE INJURY GA A                            ,2000              
DEPARTMENT OF PLASTIC SURGER,P268SU  ,SOFT TISSUE INJURY GA B                            ,2500              
DEPARTMENT OF PLASTIC SURGER,P269SU  ,SOFT TISSUE INJURY GA C    ,                        4000              
DEPARTMENT OF PLASTIC SURGER,P270SU  ,SOFT TISSUE INJURY GA D                            ,5000              
DEPARTMENT OF PLASTIC SURGER,P271SU  ,PRESSURE SORE REPAIR LA  MINOR                     ,1500              
DEPARTMENT OF PLASTIC SURGER,P272SU  ,PRESSURE SORE REPAIR LA  MAJOR          ,           3000              
DEPARTMENT OF PLASTIC SURGER,P273SU  ,PRESSURE SORE REPAIR GA  MINOR                     ,4000              
DEPARTMENT OF PLASTIC SURGER,P274SU  ,PRESSURE SORE REPAIR GA  MAJOR                     ,6000              
DEPARTMENT OF PLASTIC SURGER,P275SU  ,LYMPHOEDEMA EXCISION     MINOR                     ,3000              
DEPARTMENT OF PLASTIC SURGER,P276SU  ,LYMPHOEDEMA EXCISION     MAJOR A                   ,5000              
DEPARTMENT OF PLASTIC SURGER,P277SU  ,LYMPHOEDEMA EXCISION     MAJOR B                  ,10000              
DEPARTMENT OF PLASTIC SURGER,P278SU  ,LYMPHOEDEMA VIPEL PUMP/DAY                           150          ,    
DEPARTMENT OF PLASTIC SURGER,P279SU  ,VASCULAR FORMATIONS       LA MINOR                 ,2000              
DEPARTMENT OF PLASTIC SURGER,P280SU  ,VASCULAR FORMATIONS       GA MAJOR A               ,4000              
DEPARTMENT OF PLASTIC SURGER,P281SU  ,VASCULAR FORMATIONS       GA MAJOR B               ,6000              
DEPARTMENT OF PLASTIC SURGER,P282SU , VASCULAR FORMATIONS       GA MAJOR C              ,10000              
DEPARTMENT OF PLASTIC SURGER,P283SU  ,CLEFT LIP UNILATERAL-ADHESION                      ,2000              
DEPARTMENT OF PLASTIC SURGER,P284SU  ,CLEFT LIP UNILATERAL-REPAIR MINOR                  ,3500              
DEPARTMENT OF PLASTIC SURGER,P285SU  ,CLEFT LIP UNILATERAL-REPAIR MAJOR                  ,4500              
DEPARTMENT OF PLASTIC SURGER,P286SU  ,CLEFT LIP BILATERAL-ADHESION                       ,3000              
DEPARTMENT OF PLASTIC SURGER,P287SU  ,CLEFT LIP BILATERAL-ADHESION MINOR                 ,4000              
DEPARTMENT OF PLASTIC SURGER,P288SU  ,CLEFT LIP BILATERAL-ADHESION MAJOR                 ,5000              
DEPARTMENT OF PLASTIC SURGER,P289SU  ,CLEFT PALATE MINOR                                 ,2500              
DEPARTMENT OF PLASTIC SURGER,P290SU  ,CLEFT PALATE MAJOR                                 ,4000              
DEPARTMENT OF PLASTIC SURGER,P291SU  ,TOTAL CORRECTION LIP & PALATE - UNILATERAL         ,5000              
DEPARTMENT OF PLASTIC SURGER,P292SU  ,TOTAL CORRECTION LIP & PALATE - BILATERAL          ,7000              
DEPARTMENT OF PLASTIC SURGER,P293SU  ,SECONDARY CORRECTION LIP MINOR                     ,2000              
DEPARTMENT OF PLASTIC SURGER,P294SU  ,SECONDARY CORRECTION LIP MAJOR                  ,   3000              
DEPARTMENT OF PLASTIC SURGER,P295SU  ,CLEFT LIP NOSE DEFORMITY MINOR                     ,2000              
DEPARTMENT OF PLASTIC SURGER,P296SU  ,CLEFT LIP NOSE DEFORMITY MAJOR                     ,4000              
DEPARTMENT OF PLASTIC SURGER,P297SU  ,PALATAL FISTULA- CLOSURE                            3000     ,         
DEPARTMENT OF PLASTIC SURGER,P298SU  ,PALATAL FISTULA- FLAP COVER                        ,4000              
DEPARTMENT OF PLASTIC SURGER,P299SU  ,ALVEOLAR BONE GRAFTING   MINOR                     ,4000              
DEPARTMENT OF PLASTIC SURGER,P300SU  ,ALVEOLAR BONE GRAFTING   MAJOR                     ,6000              
DEPARTMENT OF PLASTIC SURGER,P301SU  ,RECONSTRUCTION OF LIP/CHECK   LA MINOR             ,2000              
DEPARTMENT OF PLASTIC SURGER,P302SU  ,RECONSTRUCTION OF LIP/CHECK   LA MAJOR             ,4000              
DEPARTMENT OF PLASTIC SURGER,P303SU  ,RECONSTRUCTION OF LIP/CHECK   GA MINOR             ,4000              
DEPARTMENT OF PLASTIC SURGER,P304SU  ,RECONSTRUCTION OF LIP/CHECK   GA MAJOR             ,7000              
DEPARTMENT OF PLASTIC SURGER,P305SU  ,RECONSTRUCTION OF EYE    LIDS MINOR                ,3500              
DEPARTMENT OF PLASTIC SURGER,P306SU  ,RECONSTRUCTION OF EYE    LIDS MAJOR                ,5000              
DEPARTMENT OF PLASTIC SURGER,P307SU  ,EAR RECONSTRUCTION UNILATERAL LA MINOR             ,1500              
DEPARTMENT OF PLASTIC SURGER,P308SU  ,EAR RECONSTRUCTION UNILATERAL LA MAJOR             ,3000              
DEPARTMENT OF PLASTIC SURGER,P309SU  ,EAR RECONSTRUCTION UNILATERAL GA MINOR             ,3500              
DEPARTMENT OF PLASTIC SURGER,P310SU  ,EAR RECONSTRUCTION UNILATERAL GA MAJOR             ,6000              
DEPARTMENT OF PLASTIC SURGER,P311SU  ,EAR RECONSTRUCTION BILATERAL LA MINOR              ,2000              
DEPARTMENT OF PLASTIC SURGER,P312SU  ,EAR RECONSTRUCTION BILATERAL LA MAJOR              ,3000              
DEPARTMENT OF PLASTIC SURGER,P313SU  ,EAR RECONSTRUCTION BILATERAL GA MINOR        ,      4500              
DEPARTMENT OF PLASTIC SURGER,P314SU  ,EAR RECONSTRUCTION BILATERAL GA MAJOR              ,7000              
